date,revenue,cogs,salaries,marketing,rnd,admin,depreciation,amortization,interest,tax
2024-01-15,88900,36800,21500,8600,8000,5300,4200,1800,2600,0
2024-02-15,91700,38300,21400,10100,7900,5300,4260,1800,2600,0
2024-03-15,105600,44500,24800,10800,9600,6600,4320,1800,2600,100
2024-04-15,105900,43600,26100,10100,9900,6200,4380,1800,2600,300
2024-05-15,102200,41400,24200,12800,8900,6200,4440,1800,2600,0
2024-06-15,116100,47200,27900,11100,10000,6800,4500,1800,2600,1000
2024-07-15,108600,44100,25800,12600,9700,6400,4560,1800,2600,300
2024-08-15,108200,44100,25600,12500,9800,6700,4620,1800,2600,100
2024-09-15,122400,48800,30200,12000,10900,7500,4680,1800,2600,1000
2024-10-15,122300,48900,28500,14600,11300,7400,4740,1800,2600,600
2024-11-15,136800,54000,33200,15900,12400,8200,4800,1800,2600,1000
2024-12-15,142500,57400,34100,17000,12300,8700,4860,1800,2600,900
2025-01-15,114200,45800,27900,11900,10200,6900,4920,1800,2600,500
2025-02-15,114000,44600,26800,11200,9800,7000,4980,1800,2600,1300
2025-03-15,128000,49300,30500,16300,11000,7600,5040,1800,2600,1000
2025-04-15,130700,51400,32000,16600,11500,7800,5100,1800,2600,500
2025-05-15,128200,50100,31600,12700,11200,7500,5160,1800,2600,1400
2025-06-15,138000,52800,33300,14300,11800,8200,5220,1800,2600,2000
2025-07-15,129600,49400,31900,15600,11700,7800,5280,1800,2600,900
2025-08-15,130700,48500,32100,41860,12200,8000,5340,1800,2600,1000
2025-09-15,144900,54300,33900,17100,12500,8400,5400,1800,2600,2200
2025-10-15,149000,54900,35400,14200,12700,8700,5460,1800,2600,3300
2025-11-15,155400,57400,36200,19800,14100,9100,5520,1800,2600,2200
2025-12-15,163800,60100,39000,16100,15300,10200,5580,1800,2600,3300
